;ID;SCANCODE;VIRTUALKEY;___;S__;_C_;SC_;__A;S_A;_CA;SCA;REMAP;HOLD;HOLDTILLRELEASE;LOOP;LABEL;DEVNOTES
;KEY_N_7;69;0x67;7;7;7;7;₆;⁶;₆;⁶;;;;;;
;KEY_N_8;69;0x68;8;8;8;8;₇;⁷;₇;⁷;;;;;;
;KEY_N_9;69;0x69;9;9;9;9;₈;⁸;₈;⁸;;;;;;
;KEY_N_PLUS;78;0x6B;+;+;;₉;⁹;₉;⁹;+;+;;;;;;;;;;
;KEY_N_MINUS;74;0x6D;-;-;-;-;;;;;;;;;;
;KEY_N_STAR;55;0x6A;*;*;*;*;;;;;;;;;;
;KEY_N_SLASH;57397;0x6F;/;/;/;/;;;;;;;;;;
;KEY_N_DECIMAL_POINT;83;0x6E;.;.;.;.;;;;;;;;;;vk decimal point vs separator
;KEY_F_F1;59;0x70;;;;;;;;;;;;;F1;
;KEY_F_F2;60;0x71;;;;;;;;;;;;;F2;
;KEY_F_F3;61;0x72;;;;;;;;;;;;;F3;
;KEY_F_F4;62;0x73;;;;;;;;;;;;;F4;
;KEY_F_F5;63;0x74;;;;;;;;;;;;;F5;
;KEY_F_F6;64;0x75;;;;;;;;;;;;;F6;
;KEY_F_F7;65;0x76;;;;;;;;;;;;;F7;
;KEY_F_F8;66;0x77;;;;;;;;;;;;;F8;
;KEY_F_F9;67;0x78;;;;;;;;;;;;;F9;
;KEY_F_F10;68;0x79;;;;;;;;;;;;;F10;
;KEY_F_F11;87;0x7A;;;;;;;;;;;;;F11;
;KEY_F_F12;88;0x7B;;;;;;;;;;;;;F12;
;KEY_F_F13;100;0x7C;;;;;;;;;;;;;F13;
;KEY_F_F14;101;0x7D;;;;;;;;;;;;;F14;
;KEY_F_F15;102;0x7E;;;;;;;;;;;;;F15;
;KEY_F_F16;103;0x7F;;;;;;;;;;;;;F16;
;KEY_F_F17;104;0x80;;;;;;;;;;;;;F17;
;KEY_F_F18;105;0x81;;;;;;;;;;;;;F18;
;KEY_F_F19;106;0x82;;;;;;;;;;;;;F19;
;KEY_F_F20;107;0x83;;;;;;;;;;;;;F20;
;KEY_F_F21;108;0x84;;;;;;;;;;;;;F21;
;KEY_F_F22;109;0x85;;;;;;;;;;;;;F22;
;KEY_F_F23;110;0x86;;;;;;;;;;;;;F23;
;KEY_F_F24;118;0x87;;;;;;;;;;;;;F24;
;KEY_M_VOL_M;57376;0xAD;;;;;;;;;;;;;🔈⨯;
;KEY_M_VOL_D;57390;0xAE;;;;;;;;;;;;;🔉;
;KEY_M_VOL_U;57392;0xAF;;;;;;;;;;;;;🔊;
;KEY_M_PREV;57360;0xB1;;;;;;;;;;;;;⏮;
;KEY_M_NEXT;57369;0xB0;;;;;;;;;;;;;⏭;
;KEY_M_PLAY_PAUSE;57378;0xB3;;;;;;;;;;;;;⏯;
;KEY_M_STOP;57380;0xB2;;;;;;;;;;;;;⏹;
